,Time,BlockTime_Adaptive,BlockTime_Static,Energy_Adaptive,Energy_Static,Throughput_Adaptive,Throughput_Static
44,44,9.94885876669464,1.81137626087964,5.49243080057993e-06,1.0000000000000002e-06,0.10051404120316355,0.5520664157950156
45,45,9.958736601084109,1.8103828716524792,5.500900807790998e-06,1.0000000000000002e-06,0.10041434371214718,0.5523693444399532
46,46,10.012671865667274,1.81792793650317,5.507738598773558e-06,1.0000000000000002e-06,0.09987344171628429,0.5500768099331402
47,47,9.938100500245481,1.8050738977406218,5.505647448940912e-06,1.0000000000000002e-06,0.10062285041042793,0.5539939396673355
48,48,9.974518210256381,1.8083095885123446,5.515935033260644e-06,1.0000000000000002e-06,0.10025546887785936,0.5530026530593566
49,49,10.013413598736019,1.813970808024605,5.52016248246052e-06,1.0000000000000002e-06,0.09986604369625048,0.5512767876838047
50,50,4.170709471490718,0.7558448210640376,5.517944100773778e-06,1.0000000000000002e-06,0.2397673601663207,1.323022890587851
51,51,6.166950596975933,0.7874415616396386,7.831629542305196e-06,1e-06,0.1621546961135649,1.2699355085065165
52,52,7.327811967862493,0.7886196301044801,9.291947205133189e-06,1.0000000000000002e-06,0.13646638374260822,1.2680384330117616
53,53,8.145244958159157,0.7901500771919199,1.0308478342628518e-05,1e-06,0.12277101611269431,1.2655823607002061
54,54,8.779074371389209,0.797178601326771,1.101268192194058e-05,1.0000000000000002e-06,0.11390722503262711,1.2544240378952303
55,55,9.11390000686496,0.7944370006163052,1.1472149459044097e-05,1.0000000000000002e-06,0.10972251168509194,1.258753053073087
56,56,9.351175094019705,0.7920184792232705,1.180676378055013e-05,1.0000000000000002e-06,0.10693843179554229,1.262596803272439
57,57,9.548773232448392,0.7922632965226197,1.2052525056202407e-05,1.0000000000000002e-06,0.10472549464279099,1.2622066482054293
58,58,9.636046653392814,0.7883286581595491,1.2223387483957972e-05,1.0000000000000002e-06,0.10377699859391029,1.268506465735527
59,59,9.72737801187077,0.7868843284829673,1.2361890635977162e-05,1.0000000000000002e-06,0.10280262561809089,1.2708348149821436
60,60,9.889867285589167,0.793358240844899,1.2465827890130443e-05,1.0000000000000002e-06,0.10111359142878804,1.2604646281042404
61,61,9.806597677067701,0.7840590467506013,1.2507473407404033e-05,1.0000000000000002e-06,0.10197216536561464,1.2754141466058315
62,62,9.835928017769517,0.781778681462962,1.2581473825000317e-05,1e-06,0.10166808848066061,1.2791343940572477
63,63,9.855625734125708,0.7794437508282115,1.2644434859671966e-05,1e-06,0.10146489192841797,1.282966216532537
64,64,9.91906603203307,0.7810286337659295,1.2700003051367985e-05,1.0000000000000002e-06,0.1008159434336414,1.2803627892337879
65,65,9.974911393537848,0.7835080106194384,1.2731090503658952e-05,1.0000000000000002e-06,0.10025151708594028,1.2763111371502174
66,66,9.992795935375028,0.7843209928362188,1.274069676401192e-05,1.0000000000000002e-06,0.10007209258221184,1.2749881861300876
67,67,10.02591163629042,0.7867500427369605,1.2743452293198608e-05,1.0000000000000002e-06,0.09974155331474667,1.2710517263159995
68,68,10.046073827652927,0.7889439034009673,1.273357178418702e-05,1.0000000000000002e-06,0.09954137478538029,1.2675172413263038
69,69,10.054119207128592,0.7906635824191194,1.2716051972909823e-05,1.0000000000000002e-06,0.09946172105170366,1.264760414208523
70,70,9.989071197636818,0.7868187413657528,1.2695517623662445e-05,1.0000000000000002e-06,0.10010940759302794,1.2709407483916932
71,71,9.994783637684057,0.7870103838685739,1.2699684581738794e-05,1.0000000000000002e-06,0.1000521908477966,1.2706312654789496
72,72,10.016911797191717,0.7886293242087137,1.2701673003654002e-05,1.0000000000000002e-06,0.09983116755409129,1.2680228458450604
73,73,9.9390802622735,0.7828981999587289,1.2695239640092986e-05,1.0000000000000002e-06,0.10061293133890606,1.277305274239634
74,74,9.995375036518956,0.7858874363556844,1.271858357078399e-05,1.0000000000000002e-06,0.10004627103499515,1.2724468591038915
75,75,10.016140124949679,0.7874107907282196,1.2720349076860467e-05,1.0000000000000002e-06,0.09983885883435802,1.2699851358084284
76,76,10.004833689164075,0.7869023514695874,1.2714199761227612e-05,1.0000000000000002e-06,0.09995168646162195,1.2708057081446509
77,77,9.995677860779706,0.786296191521355,1.271235695729328e-05,1.0000000000000002e-06,0.10004324008116801,1.271785379075998
78,78,10.037065692947053,0.7894495005868167,1.271400600733329e-05,1.0000000000000002e-06,0.09963071186260046,1.2667054691359942
79,79,10.697481512434363,0.84232664429969,1.2699920612541285e-05,1.0000000000000002e-06,0.09347994654981515,1.187187900047255
80,80,10.497814220038592,0.8430958010343905,1.2451508128920665e-05,1.0000000000000002e-06,0.09525792503463867,1.1861048279129185
81,81,10.32825465431346,0.841448848936074,1.2274370173983222e-05,1.0000000000000002e-06,0.0968217800073668,1.188426368714388
82,82,10.251760608112367,0.843257003787145,1.215733822793142e-05,1.0000000000000002e-06,0.09754422076620532,1.1858780840347698
83,83,10.16726700774693,0.8425140813433012,1.2067771011656302e-05,1.0000000000000002e-06,0.09835484788961006,1.1869237822181011
84,84,10.180361195094754,0.8477833333062353,1.2008211054813714e-05,1e-06,0.09822834188651716,1.1795466609376963
85,85,10.11527025973384,0.8468638573909474,1.194438772118269e-05,1.0000000000000002e-06,0.09886043321854977,1.1808273446464472
86,86,10.206312869822959,0.8574173184776294,1.1903553438767226e-05,1.0000000000000002e-06,0.09797857588284438,1.1662932138757478
87,87,10.17441124837261,0.8599522951521694,1.1831367048764303e-05,1.0000000000000002e-06,0.09828578534801699,1.1628552021284495
88,88,10.098788141087383,0.8579727965620914,1.1770522540520357e-05,1.0000000000000002e-06,0.0990217822207255,1.1655381196315473
89,89,10.1209878647128,0.8623896552603322,1.173598013725889e-05,1.0000000000000002e-06,0.09880458443059072,1.1595686403475318
90,90,10.104834818545628,0.8641122052220704,1.169389201712382e-05,1.0000000000000002e-06,0.09896252813204603,1.1572571177177244
91,91,10.144025585591653,0.8701719297146115,1.1657495765139848e-05,1.0000000000000002e-06,0.09858019299757856,1.149198182395941
92,92,10.116990409219811,0.8715651688616411,1.1607841582785717e-05,1.0000000000000002e-06,0.09884362439334532,1.1473611334263263
93,93,10.090845339301225,0.8723390609501489,1.156757250822898e-05,1.0000000000000002e-06,0.09909972518409924,1.1463432566126333
94,94,10.053320109264344,0.8714486887279139,1.1536330525598186e-05,1.0000000000000002e-06,0.09946962686271962,1.1475144927462535
95,95,10.055453053670103,0.8730226613600134,1.151797484615749e-05,1e-06,0.09944852754645538,1.1454456387674732
96,96,9.683251506097804,0.8421010049914058,1.1498919308612663e-05,1.0000000000000002e-06,0.10327109642564515,1.187506004710451
97,97,9.7847725570955,0.8426604810717719,1.1611761530160215e-05,1.0000000000000002e-06,0.10219961620618791,1.186717571860151
98,98,9.86143997262649,0.84369562680365,1.1688385786692606e-05,1.0000000000000002e-06,0.10140506891243192,1.1852615661746533
99,99,9.962736955265603,0.8487842902294579,1.1737654749208784e-05,1.0000000000000002e-06,0.10037402417530157,1.1781556415584258
100,100,4.610586608746216,0.39236279248480327,1.1750825249121425e-05,1.0000000000000002e-06,0.21689214081848382,2.548661644665839
101,101,6.226118746569789,0.39228139662073885,1.5871562608382514e-05,1.0000000000000002e-06,0.16061370505516603,2.5491904755473502
102,102,7.370669237046765,0.392941719442432,1.8757665252509808e-05,1e-06,0.13567289045800052,2.544906663051606
103,103,7.99708340804613,0.3851216188900332,2.0765085665911683e-05,1.0000000000000002e-06,0.12504558836961321,2.596582354639348
104,104,8.628830407548747,0.38650444519897914,2.2325307030056222e-05,1.0000000000000002e-06,0.11589056138189614,2.5872923647364074
105,105,9.045886240588231,0.38674835519537365,2.3389592015248577e-05,1.0000000000000002e-06,0.11054748793026746,2.585660640999572
106,106,9.351120954030298,0.38753579094905205,2.412969633367272e-05,1e-06,0.10693905093474422,2.5804068252665378
107,107,9.553140743139293,0.3878344298316454,2.4632007909370516e-05,1.0000000000000002e-06,0.10467761617750293,2.578419869618303
108,108,9.683391582081224,0.38768201614148995,2.4977665145414267e-05,1.0000000000000002e-06,0.10326960254818826,2.579433552148666
109,109,9.795508435968909,0.3883613387926572,2.5222666258235984e-05,1.0000000000000002e-06,0.10208760540984481,2.574921600355002
110,110,9.776579123622142,0.3851984236948812,2.5380631181830195e-05,1.0000000000000002e-06,0.10228526638564228,2.5960646214692407
111,111,9.736012001528922,0.3809880962104801,2.5554635691688856e-05,1.0000000000000002e-06,0.10271145925487378,2.624753922620043
112,112,9.785690539395212,0.37984232798384227,2.5762506752042328e-05,1.0000000000000002e-06,0.10219002899940502,2.6326713120885725
113,113,9.803013895813972,0.37803105616611066,2.5931768662695346e-05,1.0000000000000002e-06,0.10200944430232975,2.645285311058121
114,114,9.877612531656936,0.3786253044308135,2.6088093997061103e-05,1.0000000000000002e-06,0.10123903896767383,2.6411335647608065
115,115,9.95368388100312,0.38012826448076975,2.618506649222519e-05,1.0000000000000002e-06,0.10046531635473452,2.6306909889111623
116,116,9.988595555749404,0.38092977252790516,2.6221619511291115e-05,1.0000000000000002e-06,0.10011417465235171,2.625155795420912
117,117,10.082401605327687,0.3843755462694568,2.6230601044166516e-05,1.0000000000000002e-06,0.0991827184776676,2.601622318863581
118,118,10.125427192604361,0.38696460550797174,2.6166287687507304e-05,1.0000000000000002e-06,0.09876126517707842,2.5842156770056306
119,119,10.144533216942127,0.3891409098065347,2.6069048412272008e-05,1.0000000000000002e-06,0.09857526005532964,2.5697632266346915
120,120,10.064739481807589,0.38773732330502925,2.5957623568494474e-05,1.0000000000000002e-06,0.09935676942334565,2.579065619672908
121,121,9.888869848503754,0.3816986245757464,2.5907533356964857e-05,1.0000000000000002e-06,0.10112379021262032,2.6198679681161767
122,122,9.82999191715074,0.3781511188152834,2.599487725422393e-05,1.0000000000000002e-06,0.10172948344497253,2.644445435287666
123,123,9.909332026161579,0.3792356176619929,2.612975038381975e-05,1e-06,0.10091497563709692,2.6368831233865944
124,124,10.016325562610469,0.3822809861153816,2.62014746388336e-05,1.0000000000000002e-06,0.09983701046348364,2.615876897675931
125,125,9.984827224570816,0.3812652538759296,2.618866294021132e-05,1.0000000000000002e-06,0.10015195831723403,2.6228458791721354
126,126,9.975944100316513,0.38075248103814846,2.6200601695664328e-05,1e-06,0.10024113907858329,2.626378158517653
127,127,9.972764015718893,0.3803559505005419,2.6219555662517986e-05,1.0000000000000002e-06,0.10027310366753067,2.6291162230642566
128,128,9.99950959526651,0.3810638030071042,2.6241037632955364e-05,1.0000000000000002e-06,0.1000049042878435,2.6242324568974005
129,129,10.026414199797717,0.38208346883785443,2.6241423713760955e-05,1.0000000000000002e-06,0.09973655387388394,2.617229169954935
130,130,9.994753010006033,0.3811781938361328,2.622068410949747e-05,1.0000000000000002e-06,0.10005249744529669,2.623444929879427
131,131,10.005624814318825,0.3815327323824469,2.622481366628651e-05,1.0000000000000002e-06,0.09994378347756179,2.6210070988027416
132,132,10.004195597560354,0.38154258073057135,2.622039086280878e-05,1.0000000000000002e-06,0.09995806162005291,2.6209394455665125
133,133,9.989344599359793,0.38102412815149744,2.6217091940665686e-05,1.0000000000000002e-06,0.10010666766507274,2.6245057100488767
134,134,9.93666509108493,0.37889352366703116,2.622548148861261e-05,1.0000000000000002e-06,0.10063738596736942,2.639263902749609
135,135,9.906567782066096,0.3770249563280733,2.6275628750277644e-05,1.0000000000000002e-06,0.10094313409032586,2.6523443162468974
136,136,9.910612806123607,0.3761147223306661,2.6349973073935042e-05,1.0000000000000002e-06,0.1009019340743608,2.6587632459673753
137,137,9.878934997821785,0.37390082555374615,2.6421270889656657e-05,1e-06,0.10122548637282165,2.6745059963935693
138,138,9.925522018784516,0.37428801020146396,2.651840761194037e-05,1.0000000000000002e-06,0.1007503684045487,2.671739336404981
139,139,9.941346198155788,0.37404272501649155,2.65781033375732e-05,1.0000000000000002e-06,0.10058999858444818,2.6734913771038054
140,140,10.015573535258174,0.3761697066133068,2.662514646761266e-05,1.0000000000000002e-06,0.09984450680529328,2.658374617677482
141,141,10.014930262125525,0.3763210923596307,2.66127263803613e-05,1e-06,0.0998509199591535,2.6573052117003093
142,142,9.971621655921636,0.3748613809078995,2.660082410135384e-05,1.0000000000000002e-06,0.10028459106309465,2.6676527669455825
143,143,9.99880843443916,0.37556276316887766,2.6623535171784434e-05,1.0000000000000002e-06,0.10001191707560608,2.6626707918599863
144,144,9.962430880434145,0.3741830173852679,2.6624486995829064e-05,1.0000000000000002e-06,0.10037710795705132,2.672489005481443
145,145,10.018017324956391,0.37584560828873437,2.665460791352467e-05,1.0000000000000002e-06,0.09982015079060098,2.6606669811923784
146,146,10.038631041692367,0.376822285954724,2.66402264830444e-05,1.0000000000000002e-06,0.09961517619751213,2.6537708550500967
147,147,10.017305958088386,0.37645640979512335,2.6609471103281374e-05,1.0000000000000002e-06,0.09982723939789008,2.656350042078508
148,148,10.009659959011003,0.37636413121227724,2.659567989853248e-05,1.0000000000000002e-06,0.09990349363464333,2.6570013374520514
149,149,9.78180092677947,0.36790312571187256,2.6587979941328893e-05,1.0000000000000002e-06,0.10223066360534051,2.718106833327535
150,150,4.075426840481876,0.1522618651730658,2.676590645891283e-05,1.0000000000000002e-06,0.24537307112640022,6.567632669305393
151,151,5.862459700279273,0.15251319595082752,3.843903252915516e-05,1.0000000000000002e-06,0.17057686553518867,6.556809683028442
152,152,7.092716403281817,0.15227691604285074,4.657775181949394e-05,1.0000000000000002e-06,0.14098970593795312,6.566983532281412
153,153,7.941649363686552,0.15183237056775953,5.230537687048998e-05,1.0000000000000002e-06,0.1259184275463649,6.586210807752102
154,154,8.605370858349982,0.1526522098305558,5.6372396232599305e-05,1e-06,0.11620649667058543,6.550838675116473
155,155,9.059933617922876,0.15326415472820926,5.911319338816892e-05,1.0000000000000002e-06,0.11037608465714838,6.524682837766916
156,156,9.34500191874189,0.1533141665733729,6.0953283885019e-05,1.0000000000000002e-06,0.10700907380173436,6.522554453710064
157,157,9.503547717390736,0.15270432245264534,6.223496208064348e-05,1.0000000000000002e-06,0.10522386268131001,6.548603103950164
158,158,9.71274029330698,0.15365759917431954,6.321028276830093e-05,1.0000000000000002e-06,0.10295755572596715,6.507976210571484
159,159,9.706342889977442,0.15220591844798778,6.37711265695251e-05,1.0000000000000002e-06,0.10302541454954968,6.570046751117124
160,160,9.851068557368782,0.15308592772530644,6.434992885201893e-05,1.0000000000000002e-06,0.10151183033357142,6.532279059603539
161,161,9.8618548726169,0.15256160562782936,6.464178737522387e-05,1.0000000000000002e-06,0.10140080268030188,6.5547291265371035
162,162,9.873415037691496,0.15210124836111522,6.4913438542268e-05,1e-06,0.10128207881290587,6.57456799845471
163,163,9.95039391149578,0.15269979843842393,6.516311097495173e-05,1e-06,0.10049853391680212,6.548797118440527
164,164,9.941882774176655,0.1523413436438167,6.526056903778779e-05,1.0000000000000002e-06,0.10058456961466394,6.564206249473949
165,165,9.879038807681454,0.1511133648556772,6.53750170748733e-05,1.0000000000000002e-06,0.10122442268598533,6.617548361490482
166,166,9.960601016087098,0.1518033555949302,6.561515703688275e-05,1.0000000000000002e-06,0.10039554825907863,6.587469664823385
167,167,9.9840151312653,0.15197984953895793,6.569301892028809e-05,1.0000000000000002e-06,0.10016010461246841,6.579819647364921
168,168,9.979787199766385,0.15184255854079443,6.572457218629643e-05,1.0000000000000002e-06,0.1002025373871107,6.5857689017492245
169,169,9.932485577936555,0.15103109557782132,6.576450723565516e-05,1.0000000000000002e-06,0.10067973340140979,6.621153055760845
170,170,9.959029925796454,0.1511265455552472,6.589861423224114e-05,1e-06,0.10041138619432624,6.61697120334449
171,171,9.972840787970274,0.15114958043267307,6.597994357260225e-05,1.0000000000000002e-06,0.10027233175187643,6.615962790882059
172,172,9.99426116157046,0.15135057750035422,6.603384887346776e-05,1.0000000000000002e-06,0.10005742133747322,6.607176639267594
173,173,10.076184115544072,0.152564916667223,6.604522412923021e-05,1.0000000000000002e-06,0.09924391898093103,6.554586872558754
174,174,10.08581629402353,0.1530579314225915,6.58954175081374e-05,1e-06,0.09914913883495596,6.533473899101703
175,175,10.121939983641242,0.15399922459635987,6.572721395300129e-05,1e-06,0.09879529039059391,6.493539189051458
176,176,10.109426490811504,0.1543667406220528,6.548966733425526e-05,1.0000000000000002e-06,0.09891757963806391,6.478079384006507
177,177,10.075944039089443,0.15435671405181195,6.527700528599821e-05,1.0000000000000002e-06,0.09924628363560954,6.4785001814973615
178,178,10.134647850881827,0.15560786972357388,6.512940424469081e-05,1.0000000000000002e-06,0.09867141066110047,6.426410192340707
179,179,10.142773564628483,0.1563558303905962,6.486981354830569e-05,1.0000000000000002e-06,0.09859236170738953,6.395668121245472
180,180,10.123485821634839,0.15672031692808722,6.45958738475504e-05,1.0000000000000002e-06,0.09878020452825707,6.38079363034252
181,181,10.027760027325197,0.15580856257044812,6.435949258431283e-05,1.0000000000000002e-06,0.09972316821254645,6.418132505059564
182,182,9.998368182318604,0.15548100646455623,6.430604232419766e-05,1.0000000000000002e-06,0.1000163208400775,6.431653761052557
183,183,10.001255874310736,0.1555182973502566,6.430919091009605e-05,1.0000000000000002e-06,0.09998744283391486,6.430111549818546
184,184,10.04613787146601,0.15622209199978468,6.430676828652287e-05,1e-06,0.09954074021224558,6.401143315897846
185,185,10.000722595374068,0.15573042561067327,6.421816774825952e-05,1.0000000000000002e-06,0.09999277456836567,6.421352770845206
186,186,9.974922377902535,0.15533203377978533,6.421677573631729e-05,1.0000000000000002e-06,0.10025140668916903,6.437822100608706
187,187,10.091969575870577,0.15703628266502792,6.426520931724822e-05,1.0000000000000002e-06,0.09908868556153329,6.367955118582928
188,188,10.111458599638109,0.1577708786254162,6.408951187782253e-05,1.0000000000000002e-06,0.09889770008411944,6.338305324230504
189,189,10.058626000270133,0.15746725063557818,6.387757428716727e-05,1e-06,0.09941715697284541,6.350526829951902
190,190,10.003205325227562,0.1568739415887388,6.37658824908728e-05,1e-06,0.09996795701854207,6.374545000096976
191,191,9.976448920868117,0.15646937906016717,6.375975274390189e-05,1.0000000000000002e-06,0.10023606675399921,6.391026832256234
192,192,9.95827317630805,0.1560737814592731,6.380490741750001e-05,1.0000000000000002e-06,0.10041901666035055,6.407226060970058
193,193,9.955673162419357,0.15583713695482496,6.388511337516019e-05,1.0000000000000002e-06,0.10044524199275613,6.416955672702626
194,194,9.931465011216382,0.15525083179987967,6.397044638072e-05,1e-06,0.10069007934585901,6.441189321864716
195,195,9.931402076528217,0.15492910785886121,6.410288043209813e-05,1.0000000000000002e-06,0.1006907174127398,6.454565018931042
196,196,9.909137253225813,0.15426212372437698,6.42357113592618e-05,1e-06,0.10091695921100101,6.482472663132259
197,197,10.01932818532179,0.15554964115175993,6.441241594088004e-05,1.0000000000000002e-06,0.09980709100486293,6.428815859654497
198,198,9.927450941804947,0.15421249781337892,6.437513873757952e-05,1.0000000000000002e-06,0.10073079241207374,6.484558736673569
199,199,9.957555670833443,0.15434176770359403,6.451627332632637e-05,1.0000000000000002e-06,0.10042625249177245,6.479127554897856
